# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,field2,part (m/s),datatypes/templates,divider/values,unit,comment,field3,part (m/s),datatypes/templates,divider/values,unit,comment,field4,part (m/s),datatypes/templates,divider/values,unit,comment,field5,part (m/s),datatypes/templates,divider/values,unit,comment,field6,part (m/s),datatypes/templates,divider/values,unit,comment,field7,part (m/s),datatypes/templates,divider/values,unit,comment
b,Heizung,Heizung_VL_RL,Heizung Betriebsdaten Regler,,FE,0801,,Tvl,,D2B,,°C,Vorlauftemperatur,dbg1,,D2B,,,unknown field,dbg2,,UCH,,,unknown field,dbg3,,UCH,,,,Trl,,D2B,,°C,Ruecklauftemperatur,,,,,,,,,,,,
b,Heizung,Heizung_TI,Waermepumpe Betriebsdaten Regler,,FE,050D,,Ti_Soll,,D1C,,°C,Raumtemperatur Soll,Ti_Ist,,D2C,,°C,Raumtemperatur Ist,unused_data,,IGN:6,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,Heizung,Volumenstrom,Volumenstrom Waermeenergie 21-002,,15,0621,7d880002,not_used,,IGN:8,,,,l/m,,UIN,10,l/min,Volumenstrom Waermeenergie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,Waermepumpe,Heizleistung_aktuell_[kw],Waermepumpe Heizleistung 23-003,,15,0621,7d8b0002,not_used,,IGN:8,,,,kw,,SIN,100,kW,Heizleistung kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,Waermepumpe,Heizenergie_[Mwh],Energieverbrauch fuer Heizung 23-010,,15,0621,7d8a0002,not_used,,IGN:8,,,,PH_mwh,,UCH,,Mwh,Heizenergie Mwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,Waermepumpe,Heizenergie_[kWh],Energieverbrauch fuer Heizung 23-001,,15,0621,7d890002,not_used,,IGN:8,,,,PH_kwh,,UIN,10,kWh,Heizenergie kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,Waermepumpe,Warmwasserenergie_[Mwh],Energieverbrauch fuer Warmwasser 23-013,,15,0621,7d8d0002,not_used,,IGN:8,,,,PW_mwh,,UCH,,Mwh,Warmwasserenergie Mwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,Waermepumpe,Warmwasserenergie_[kWh],Energieverbrauch fuer Warmwasser 23-006,,15,0621,7d8c0002,not_used,,IGN:8,,,,PW_kwh,,UIN,10,kWh,Warmwasserenergie kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#r,Waermepumpe,Status_Waermeerzeuger,Energieverbrauch Waermeerzeuger 02-053,,15,0621,7d830002,not_used,,IGN:8,,,,Status,,UCH,0=Abgeschaltet;1=Heizbetrieb;2=Vorlaufzeit Heizbetrieb;3=Extern gesperrt;4=Kuehlbetrieb;5=Vorlaufzeit Kuehlbetrieb;6=Vorlaufzeit Abtaubetrieb;7=Abtaubetrieb;9=Abtropfen;10=Abtausperrzeit;11=Abtau Vorheizung;12=Abtauen 1;13=Abtauen 2;14=Abtauen 3;15=Alarm;16=Stoerung;17=Blockiert;21=TWVmax Abschaltung;22=TWVsoll Abschaltung;23=TWEmax Abschaltung;24=TWAmin Abschaltung;25=TKAmin Abschaltung;26=Bivalenzabschaltung;27=Warmwasser Ladesperre;28=Minimale Auszeit;29=Minimale Einzeit;36=Passivkuehlung,,Status Waermeerzeuger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,Waermepumpe,Status_Waermeerzeuger,Energieverbrauch Waermeerzeuger 02-053,,15,0621,7d830002,not_used,,IGN:8,,,,Status,,UCH,,,Status Waermeerzeuger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,Warmwasser,Warmwassertemperatur,Warmwassertemperatur 00-004,,15,0621,7980000e,not_used,,IGN:8,,,,Tw_Ist,,UIN,10,°C,Warmwassertemperatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,Warmwasser,Status_Warmwasserbereitung,Status Warmwasserbereitung 02-052,,15,0621,7982000e,not_used,,IGN:8,,,,Status,,UCH,0=Abgeschaltet;1=Normal Ladebetrieb;2=Komfort Ladebetrieb;3=Zwangsdrosselung;4=Zwangsladung;5=Stoerung,,Status Warmwasserbereitung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#r,Waermepumpe,Betriebsstunden_[h],Betriebsstunden Waermepumpe 02-081,,15,0621,7d850002,not_used,,IGN:8,,,,Stunden,,ULG,,,Betriebsstunden Waermepumpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
